rosbagTimestamp,x,y
1413759000000,0.25,6.3040237175
1413772000000,0.25,6.3133690975
1413777000000,0.25,6.3227053187
1413789000000,0.25,6.3320441738
1413802000000,0.25,6.3413936029
1413816000000,0.25,6.3507420839
1413830000000,0.25,6.3600791432
1413830000000,0.25,6.3694123514
1413843000000,0.25,6.3787546589
1413847000000,0.25,6.3879914387
1413860000000,0.25,6.3974440334
1413873000000,0.25,6.4067765377
1413887000000,0.25,6.4161098105
1413901000000,0.25,6.4254530393
1413902000000,0.25,6.4347975349
1413912000000,0.25,6.4441314397
1413917000000,0.25,6.4534599916
1413930000000,0.25,6.4627958546
1413944000000,0.25,6.4721398933
1413957000000,0.25,6.4814770082
1413970000000,0.25,6.4908039325
1413971000000,0.25,6.5001323136
1413983000000,0.25,6.5094717541
1413987000000,0.25,6.5188096346
1414001000000,0.25,6.5281405037
1414013000000,0.25,6.5374651395
1414028000000,0.25,6.5467951527
1414028000000,0.25,6.5561330898
1414041000000,0.25,6.5654662713
1414047000000,0.25,6.5747898326
1414060000000,0.25,6.5841132989
1414074000000,0.25,6.5934461775
1414087000000,0.25,6.6027812378
1414101000000,0.25,6.6121063245
1414101000000,0.25,6.6214254894
1414112000000,0.25,6.6307510255
1414117000000,0.25,6.6400849964
1414130000000,0.25,6.6494131347
1414144000000,0.25,6.6587310109
1414159000000,0.25,6.6680494139
1414160000000,0.25,6.6773783346
1414173000000,0.25,6.6867089555
1414177000000,0.25,6.6960284317
1414190000000,0.25,6.7053420346
1414205000000,0.25,6.7146631556
1414218000000,0.25,6.7239931868
1414219000000,0.25,6.733316134
1414232000000,0.25,6.7426281865
1414237000000,0.25,6.7519430371
1414251000000,0.25,6.7612652338
1414265000000,0.25,6.7705908373
1414278000000,0.25,6.7799069432
1414279000000,0.25,6.789216291
1414292000000,0.25,6.7985310997
1414297000000,0.25,6.8078549256
1414309000000,0.25,6.8171740463
1414317000000,0.25,6.8264825439
1414330000000,0.25,6.8357904951
1414344000000,0.25,6.8451086744
1414357000000,0.25,6.8544298378
1414358000000,0.25,6.8637402549
1414371000000,0.25,6.8730438701
1414377000000,0.25,6.8823540648
1414389000000,0.25,6.8916738874
1414403000000,0.25,6.9009878026
1414416000000,0.25,6.9102903507
1414430000000,0.25,6.9195930091
1414430000000,0.25,6.9289071388
1414442000000,0.25,6.9382214797
1414447000000,0.25,6.9475287065
1414461000000,0.25,6.9568280114
1414474000000,0.25,6.9661319258
1414488000000,0.25,6.9754453767
1414489000000,0.25,6.984755254
1414502000000,0.25,6.9940541591
1414507000000,0.25,7.0033514499
1414517000000,0.25,7.0126586361
1414530000000,0.25,7.0219700857
1414544000000,0.25,7.0312712474
1414558000000,0.25,7.0405646662
1414558000000,0.25,7.0498636964
1414571000000,0.25,7.0591730215
1414577000000,0.25,7.0684776906
